Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-20,28m 37s,Loss,Ahri,Akshan, 5/13/8,1.0:1,42%,123,4.39,9063,324,0,10
1,11-19,23m 34s,Win,Kassadin,Leblanc, 5/5/5,2.0:1,34%,116,5.04,8382,364,0,6
2,11-19,44m 48s,Win,Irelia,Morgana, 8/8/13,2.62:1,45%,299,6.8,18818,428,0,25
3,11-19,36m 0s,Win,Anivia,Morgana, 4/7/19,3.29:1,51%,185,5.14,12910,359,0,19
4,11-18,24m 55s,Win,Viktor,Orianna, 5/3/4,3.0:1,39%,153,6.38,9758,407,0,11
5,11-18,37m 27s,Loss,Ornn,KSante, 8/6/8,2.67:1,44%,215,5.81,14712,398,1,21
6,11-18,29m 42s,Win,Sylas,Vladimir, 5/6/6,1.83:1,31%,119,4.1,10094,348,1,18
7,11-18,26m 26s,Win,Ahri,Syndra, 7/7/10,2.43:1,40%,117,4.5,9755,375,0,11
8,11-18,42m 1s,Win,Pantheon,Rumble, 18/11/13,2.82:1,48%,150,3.57,18130,432,0,18
9,11-18,25m 43s,Win,Diana,Ahri, 6/2/5,5.5:1,33%,123,4.92,9620,385,1,18
10,11-18,26m 37s,Loss,Ahri,Vex, 2/5/2,0.8:1,22%,185,7.12,8123,312,1,14
11,11-18,44m 4s,Loss,Kassadin,Malphite, 6/9/8,1.56:1,32%,203,4.61,15003,341,0,27
12,11-18,43m 43s,Win,Galio,Zed, 0/5/16,3.2:1,40%,171,3.98,11426,266,0,20
13,11-04,31m 8s,Win,Ornn,Renekton, 4/4/18,5.5:1,43%,195,6.29,12169,393,0,15
14,11-04,36m 15s,Win,Ornn,Sett, 2/6/14,2.67:1,37%,237,6.58,12356,343,0,22
15,11-04,17m 32s,Loss,Ornn,KSante, 1/1/1,2.0:1,29%,137,8.06,5403,318,0,5
16,11-04,26m 58s,Loss,Ornn,Malphite, 1/5/2,0.6:1,38%,210,8.08,9016,347,0,14
17,11-03,34m 38s,Loss,Ornn,Ekko, 8/4/10,4.5:1,55%,226,6.65,13212,389,0,21
18,11-03,35m 46s,Win,Ornn,Graves, 4/5/19,4.6:1,53%,242,6.91,14020,401,0,9
19,11-03,29m 6s,Win,Ornn,Jax, 3/5/4,1.4:1,21%,176,6.07,9251,319,0,11
20,N/A,N/A,Winrate: 0.7,N/A,N/A,N/A,2.7,38.9,179.1,5.8,11561.0,362.4,0.2,15.8
