Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Control Wards Bought,Average Rank
0,10-22,30m 4s,Win,Pyke,Velkoz, 11/1/7,18.0:1,61%,47,1.57,10833,4,iron 1
1,10-22,29m 18s,Loss,Pyke,Swain, 11/6/6,2.83:1,35%,59,2.03,11180,6,bronze 2
2,10-21,54m 5s,Win,Lux,Rakan, 0/12/11,0.92:1,32%,152,2.81,13432,7,bronze 3
3,10-21,35m 2s,Loss,Lux,Pyke, 0/13/7,0.54:1,32%,63,1.8,8608,6,bronze 4
4,10-21,21m 41s,Win,Pyke,Nami, 5/1/3,8.0:1,24%,26,1.24,6691,8,silver 4
5,10-21,31m 38s,Loss,Pyke,Soraka, 1/10/8,0.9:1,32%,39,1.26,7688,7,bronze 3
6,10-21,42m 20s,Loss,Pyke,Swain, 9/16/12,1.31:1,39%,48,1.14,14039,5,bronze 3
7,10-20,28m 40s,Win,Pyke,Lux, 8/6/6,2.33:1,33%,36,1.29,9408,9,bronze 3
8,10-20,5m 25s,Win,Pyke,Milio, 0/0/1,1:1,29%,6,1.2,1342,2,bronze 3
9,10-20,29m 58s,Win,Pyke,Senna, 3/9/11,1.56:1,29%,20,0.69,8672,7,bronze 3
10,10-20,29m 52s,Win,Lux,Morgana, 3/8/8,1.38:1,36%,71,2.45,10063,7,bronze 3
11,10-20,27m 22s,Loss,Lux,Seraphine, 8/7/8,2.29:1,44%,48,1.78,10384,5,bronze 3
12,10-20,24m 22s,Win,Pyke,Nautilus, 2/0/7,9:1,30%,36,1.5,6745,3,bronze 2
13,10-20,40m 34s,Win,Pyke,Senna, 8/3/14,7.33:1,60%,32,0.8,12747,7,iron 1
14,10-19,48m 3s,Loss,Lux,Nami, 2/4/16,4.5:1,44%,75,1.56,12483,7,bronze 2
15,10-17,37m 31s,Loss,Lux,Anivia, 7/15/20,1.8:1,50%,91,2.46,13736,6,bronze 3
16,10-15,28m 32s,Loss,Pyke,Thresh, 4/12/10,1.17:1,50%,32,1.14,7862,6,bronze 2
17,10-15,12m 34s,Win,Thresh,Zilean, 0/1/4,4.0:1,57%,19,1.58,3217,3,iron 2
18,10-15,37m 44s,Loss,Pyke,Leona, 4/10/9,1.3:1,40%,23,0.62,9398,6,iron 1
19,10-15,33m 50s,Loss,Pyke,Xerath, 18/6/10,4.67:1,58%,41,1.24,14536,5,iron 1
