Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-17,21m 1s,Win,KSante,Riven, 5/3/7,4.0:1,31%,134,6.38,8621,411,0,4
1,11-04,41m 15s,Win,KSante,Jax, 1/7/9,1.43:1,26%,218,5.32,13678,334,0,19
2,10-20,32m 6s,Loss,Illaoi,Jax, 4/8/3,0.88:1,30%,242,7.56,12535,392,0,9
3,10-20,40m 44s,Win,Gwen,Garen, 7/9/5,1.33:1,27%,253,6.33,15249,381,0,28
4,10-07,47m 6s,Win,Gwen,Poppy, 15/6/6,3.5:1,44%,276,5.87,20928,445,0,30
5,10-07,22m 55s,Win,Gwen,Fiora, 7/0/1,8:1,30%,184,8.36,10872,494,0,11
6,09-29,25m 17s,Loss,Ashe,Caitlyn, 14/8/5,2.38:1,83%,149,5.96,13150,526,0,8
7,07-17,16m 9s,Win,Kaisa,MissFortune, 2/0/2,4:1,21%,115,7.19,6618,414,0,5
8,07-12,15m 27s,Loss,Samira,Kaisa, 1/3/2,1.0:1,25%,79,5.27,4643,310,0,2
9,07-12,24m 18s,Win,Nilah,Twitch, 19/5/6,5.0:1,71%,190,7.92,15527,647,0,14
10,07-12,31m 56s,Win,Samira,Twitch, 21/8/12,4.12:1,70%,223,7.19,20854,673,0,18
11,N/A,N/A,Winrate: 0.4,N/A,N/A,N/A,1.8,22.9,103.2,3.7,7133.8,251.3,0.0,7.4
