Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-05,17m 33s,Loss,RekSai,JarvanIV, 8/6/4,2.0:1,67%,14,0.82,8573,504,0,10
1,11-05,30m 21s,Win,Vi,Lillia, 1/10/8,0.9:1,20%,37,1.23,10059,335,0,14
2,11-05,4m 18s,Win,Hecarim,Karthus, 0/0/0,0:1,0%,0,0.0,1352,338,0,2
3,11-05,33m 50s,Loss,Kayn,Lillia, 6/6/9,2.5:1,54%,56,1.7,13721,416,0,26
4,11-05,37m 41s,Win,Lillia,Nocturne, 12/2/11,11.5:1,61%,56,1.51,16478,445,0,29
5,11-05,40m 45s,Loss,Vi,Diana, 23/12/7,2.5:1,60%,67,1.68,20668,517,0,24
6,11-05,39m 46s,Win,Kayn,Diana, 21/7/7,4.0:1,65%,28,0.72,20434,524,0,21
7,11-05,38m 59s,Loss,Kindred,Briar, 5/8/15,2.5:1,44%,88,2.32,13993,368,0,15
8,11-04,26m 49s,Loss,Kindred,Graves, 7/5/3,2.0:1,40%,30,1.15,10149,390,1,21
9,11-04,28m 3s,Win,Kindred,MasterYi, 8/5/5,2.6:1,34%,17,0.61,12254,438,0,22
10,11-04,35m 24s,Win,Kindred,Hecarim, 7/7/13,2.86:1,49%,69,1.97,16068,459,1,23
11,11-03,17m 30s,Win,Kindred,XinZhao, 3/3/2,1.67:1,42%,9,0.53,6508,383,0,13
12,11-03,28m 47s,Win,Kindred,Nocturne, 11/5/14,5.0:1,76%,45,1.61,14190,507,0,27
13,11-03,38m 8s,Loss,Kindred,Malphite, 6/8/3,1.12:1,39%,31,0.82,13613,358,0,32
14,11-03,24m 59s,Win,Kindred,Udyr, 5/1/3,8.0:1,31%,10,0.42,10303,429,0,20
15,11-03,33m 16s,Loss,Khazix,Shyvana, 8/10/6,1.4:1,45%,21,0.64,13149,398,0,17
16,11-02,29m 48s,Loss,Belveth,Volibear, 13/7/8,3.0:1,66%,53,1.83,14354,495,0,25
17,11-02,24m 47s,Loss,RekSai,Nocturne, 10/8/4,1.75:1,54%,12,0.5,10736,447,0,5
18,11-02,32m 28s,Loss,Shyvana,Sejuani, 10/11/9,1.73:1,54%,56,1.75,14084,440,0,13
19,10-29,43m 37s,Loss,RekSai,Nocturne, 21/9/14,3.89:1,56%,54,1.26,22080,513,0,23
20,N/A,N/A,Winrate: 0.5,N/A,N/A,N/A,3.0,47.9,37.6,1.2,13138.3,435.2,0.1,19.1
