Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-03,26m 42s,Loss,Katarina,Garen, 1/6/3,0.67:1,40%,133,5.12,7664,295,1,20
1,11-03,31m 44s,Loss,Katarina,Talon, 5/4/8,3.25:1,38%,167,5.39,12106,391,1,29
2,11-03,23m 10s,Win,Katarina,Vex, 16/2/7,11.5:1,57%,98,4.26,12680,551,0,14
3,11-03,41m 34s,Win,Katarina,Yasuo, 8/5/9,3.4:1,45%,188,4.59,15511,378,3,42
4,11-03,29m 27s,Win,Katarina,Malzahar, 9/2/7,8.0:1,46%,188,6.48,13518,466,4,28
5,11-03,35m 50s,Win,Katarina,Azir, 14/5/11,5.0:1,64%,176,5.03,16514,472,3,33
6,11-03,31m 24s,Win,Katarina,Ahri, 12/5/10,4.4:1,58%,148,4.77,14628,472,3,24
7,11-03,24m 34s,Loss,Katarina,Kassadin, 3/6/3,1.0:1,67%,160,6.67,9028,376,0,9
8,11-03,27m 54s,Win,Katarina,Xerath, 11/6/5,2.67:1,44%,143,5.3,13171,488,1,28
9,11-03,19m 47s,Loss,Syndra,Irelia, 2/8/1,0.38:1,20%,123,6.47,6539,344,0,14
10,11-03,34m 2s,Loss,Katarina,Yone, 9/5/5,2.8:1,56%,187,5.5,13533,398,1,24
11,10-30,22m 7s,Loss,Katarina,Sett, 2/5/3,1.0:1,36%,113,5.14,6300,286,2,16
12,10-30,36m 44s,Loss,Syndra,Xerath, 4/8/9,1.62:1,41%,277,7.69,14796,411,5,42
13,10-21,34m 4s,Loss,Syndra,Ekko, 10/7/12,3.14:1,56%,200,5.88,15765,464,3,22
14,10-21,34m 23s,Win,Gnar,DrMundo, 6/4/9,3.75:1,32%,220,6.47,14864,437,0,15
15,10-21,28m 33s,Loss,Syndra,Fizz, 4/6/2,1.0:1,23%,176,6.29,10248,366,3,33
16,10-21,28m 44s,Win,Syndra,Malzahar, 2/6/5,1.17:1,19%,180,6.43,9918,354,2,18
17,10-21,31m 31s,Win,Syndra,Vex, 7/5/8,3.0:1,35%,188,6.06,12990,419,2,24
18,10-21,18m 34s,Loss,Syndra,Ahri, 4/3/3,2.33:1,47%,114,6.33,7367,409,3,18
19,10-20,32m 42s,Win,Lissandra,Azir, 7/5/9,3.2:1,38%,198,6.19,14463,452,2,21
20,N/A,N/A,Winrate: 0.5,N/A,N/A,N/A,3.2,43.1,168.8,5.8,12080.1,411.4,1.9,23.7
