Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,12-06,34m 2s,Win,Ezreal,, 8/7/10,2.57:1,39%,159,4.68,12865,378,0,8
1,12-06,36m 54s,Win,Ashe,, 7/7/16,3.29:1,44%,208,5.78,14517,403,1,23
2,12-06,21m 28s,Loss,Nilah,, 1/8/0,0.12:1,9%,132,6.29,6677,318,1,6
3,12-01,31m 40s,Loss,Teemo,, 3/11/3,0.55:1,35%,147,4.74,9623,310,1,19
4,12-01,45m 31s,Win,Zyra,, 2/14/12,1.0:1,33%,61,1.36,11834,263,10,98
5,11-19,41m 59s,Win,Varus,, 2/9/5,0.78:1,15%,235,5.73,13216,322,3,11
6,11-19,24m 44s,Win,Varus,, 9/0/6,15:1,56%,212,8.83,12835,535,2,16
7,11-18,32m 10s,Loss,Caitlyn,, 2/13/10,0.92:1,32%,179,5.59,10253,320,3,18
8,11-18,26m 37s,Loss,Caitlyn,, 3/8/2,0.62:1,28%,131,5.04,7544,290,2,19
9,11-18,34m 0s,Loss,Vayne,, 6/9/6,1.33:1,41%,210,6.18,12610,371,1,21
10,11-18,32m 5s,Loss,Thresh,, 1/7/8,1.29:1,32%,30,0.94,6943,217,4,58
11,11-18,34m 18s,Win,Zyra,, 12/11/20,2.91:1,64%,37,1.09,13271,390,8,65
12,11-10,17m 2s,Loss,Katarina,, 1/3/0,0.33:1,9%,94,5.53,4593,270,1,8
13,11-10,29m 52s,Loss,TahmKench,, 0/3/6,2.0:1,25%,143,4.93,8324,287,2,12
14,11-10,27m 10s,Win,Thresh,, 1/2/11,6.0:1,44%,29,1.07,6845,254,5,53
15,11-10,24m 55s,Win,Katarina,, 16/2/5,10.5:1,49%,155,6.46,13422,559,2,18
16,11-08,42m 0s,Win,Alistar,, 3/10/21,2.4:1,56%,50,1.19,12483,297,3,86
17,11-08,26m 56s,Loss,Alistar,, 3/5/10,2.6:1,48%,25,0.96,6825,262,1,42
18,11-03,26m 42s,Loss,Katarina,, 1/6/3,0.67:1,40%,133,5.12,7664,295,1,20
19,11-03,31m 44s,Loss,Katarina,, 5/4/8,3.25:1,38%,167,5.39,12106,391,1,29
20,N/A,N/A,Winrate: 0.5,N/A,N/A,N/A,2.9,36.9,126.8,4.3,10222.5,336.6,2.6,31.5
