Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-27,26m 40s,Loss,Maokai,Lillia, 3/6/4,1.17:1,41%,9,0.35,8288,319,0,8
1,11-20,29m 4s,Loss,Vi,Kayn, 4/12/6,0.83:1,38%,9,0.31,9306,321,0,8
2,11-20,27m 38s,Win,Vi,Belveth, 3/0/5,8:1,32%,14,0.52,9920,367,0,7
3,11-19,36m 48s,Win,Vi,Sejuani, 8/6/16,4.0:1,51%,31,0.86,14499,403,0,15
4,11-18,27m 42s,Loss,Zac,Graves, 3/2/3,3.0:1,46%,24,0.89,9578,355,0,8
5,11-18,31m 5s,Win,Zac,Diana, 4/3/15,6.33:1,39%,28,0.9,10455,337,1,9
6,11-16,36m 29s,Win,JarvanIV,Lillia, 6/6/21,4.5:1,61%,18,0.5,13187,366,0,12
7,11-16,19m 4s,Loss,JarvanIV,Kayn, 1/1/1,2.0:1,29%,20,1.05,6375,336,1,7
8,11-13,32m 28s,Loss,Zac,Kindred, 1/5/14,3.0:1,56%,20,0.62,9623,301,0,19
9,11-06,29m 26s,Loss,Zac,Kayn, 3/5/13,3.2:1,52%,34,1.17,9308,321,0,3
10,11-06,30m 8s,Loss,Trundle,Ekko, 2/6/6,1.33:1,47%,41,1.37,10020,334,0,9
11,11-06,34m 8s,Loss,Morgana,Maokai, 4/9/9,1.44:1,43%,36,1.06,10525,310,0,22
12,11-06,30m 49s,Loss,Zac,LeeSin, 3/3/7,3.33:1,56%,27,0.9,9520,317,1,18
13,11-06,24m 58s,Loss,Zac,Amumu, 6/8/3,1.12:1,31%,22,0.92,8942,373,0,7
14,11-05,32m 57s,Win,Zac,Nocturne, 2/7/17,2.71:1,53%,29,0.91,10750,336,0,9
15,11-05,3m 13s,Loss,Zac,XinZhao, 0/0/0,0:1,0%,0,0.0,1021,340,0,0
16,11-03,35m 32s,Loss,Zac,Graves, 4/5/16,4.0:1,62%,27,0.77,11957,342,0,21
17,11-02,27m 9s,Loss,Zac,Khazix, 0/10/12,1.2:1,55%,21,0.78,7192,266,0,9
18,11-02,34m 49s,Win,Zac,Vi, 3/5/15,3.6:1,56%,22,0.65,12063,355,2,18
19,11-02,35m 5s,Win,Zac,Elise, 6/5/16,4.4:1,52%,19,0.54,13179,377,1,15
20,N/A,N/A,Winrate: 0.3,N/A,N/A,N/A,3.0,45.0,22.6,0.8,9785.4,338.8,0.3,11.2
