Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-20,29m 51s,Win,Kaisa,, 12/9/14,2.89:1,55%,144,4.97,13892,479,4,19
1,11-19,38m 26s,Win,Kaisa,, 9/4/9,4.5:1,55%,209,5.5,14993,395,2,35
2,11-19,27m 9s,Loss,Kaisa,, 7/5/5,2.4:1,63%,168,6.22,11586,429,0,18
3,11-19,28m 23s,Win,Kaisa,, 7/2/7,7.0:1,33%,156,5.57,11016,393,1,25
4,11-19,32m 12s,Loss,Kaisa,, 7/9/9,1.78:1,53%,214,6.69,13277,415,3,14
5,11-19,33m 34s,Win,Kaisa,, 19/2/8,13.5:1,64%,205,6.21,16500,500,3,28
6,11-19,15m 15s,Win,Kaisa,, 3/0/1,4:1,25%,103,6.87,5652,377,0,3
7,11-19,25m 56s,Win,Kaisa,, 10/3/12,7.33:1,73%,158,6.32,12237,489,2,27
8,11-19,17m 38s,Loss,Kaisa,, 2/3/1,1.0:1,60%,123,7.24,5729,337,0,13
9,11-18,32m 5s,Loss,Kaisa,, 13/7/4,2.43:1,61%,190,5.94,14915,466,5,27
10,11-18,34m 18s,Win,Kaisa,, 18/8/14,4.0:1,64%,167,4.91,17095,503,2,33
11,11-08,42m 0s,Win,Nilah,, 18/7/8,3.71:1,60%,265,6.31,21705,517,3,44
12,11-08,26m 56s,Loss,Nilah,, 9/7/7,2.29:1,59%,151,5.81,11206,431,3,13
13,11-03,26m 42s,Loss,Nilah,, 2/2/0,1.0:1,20%,195,7.5,8504,327,1,11
14,11-03,31m 44s,Loss,Nilah,, 9/5/9,3.6:1,53%,166,5.35,13514,436,2,18
15,11-03,23m 10s,Win,Nilah,, 3/4/13,4.0:1,40%,124,5.39,9564,416,1,8
16,11-03,41m 34s,Win,Nilah,, 14/4/9,5.75:1,61%,218,5.32,19487,475,1,26
17,11-03,29m 27s,Win,Lucian,, 4/4/8,3.0:1,34%,197,6.79,12174,420,2,20
18,11-03,35m 50s,Win,Nilah,, 15/6/14,4.83:1,74%,230,6.57,18335,524,2,29
19,11-03,31m 24s,Win,Nilah,, 8/5/10,3.6:1,47%,152,4.9,13039,421,3,24
20,N/A,N/A,Winrate: 0.7,N/A,N/A,N/A,4.1,52.7,176.8,6.0,13221.0,437.5,2.0,21.8
