Game #,Date Played,Length,Result,Champion,Matchup,KDA,KDA Ratio,Kill Participation,CS,CS/min,Gold Earned,Gold/Min,Control Wards Bought,Vision Score
0,11-04,34m 4s,Loss,Yorick,Ornn, 3/7/5,1.14:1,30%,268,7.88,14720,433,2,29
1,10-31,30m 8s,Win,Yorick,Singed, 14/6/1,2.5:1,33%,235,7.83,17962,599,5,23
2,10-30,24m 10s,Loss,Garen,Sett, 4/5/3,1.4:1,39%,134,5.58,8016,334,0,10
3,10-30,24m 58s,Win,Yorick,Jax, 5/4/4,2.25:1,26%,136,5.67,11021,459,0,13
4,10-30,36m 55s,Win,Mordekaiser,KSante, 11/5/2,2.6:1,27%,185,5.14,15688,436,0,19
5,10-24,28m 4s,Loss,Yorick,Gangplank, 0/5/0,0.0:1,0%,228,8.14,9833,351,4,26
6,10-24,31m 4s,Win,Nunu,Viego, 5/8/15,2.5:1,38%,36,1.16,12196,393,6,27
7,10-24,29m 4s,Win,Yorick,Nasus, 9/2/2,5.5:1,35%,259,8.93,14617,504,0,14
8,10-22,37m 23s,Loss,Yorick,Fiora, 8/6/6,2.33:1,32%,242,6.54,17186,464,0,12
9,10-22,29m 15s,Loss,Chogath,DrMundo, 2/8/2,0.5:1,24%,104,3.59,7989,275,0,12
10,10-21,21m 54s,Win,Yorick,Kled, 9/1/4,13.0:1,48%,135,6.43,11775,561,0,8
11,10-21,29m 29s,Loss,Chogath,Darius, 4/7/4,1.14:1,32%,134,4.62,9833,339,0,13
12,10-20,32m 34s,Win,Yorick,Illaoi, 11/1/4,15.0:1,75%,259,8.09,17802,556,0,17
13,10-17,36m 56s,Loss,Chogath,Gnar, 9/5/3,2.4:1,44%,189,5.25,13740,382,0,20
14,10-17,30m 3s,Win,Yorick,Pantheon, 8/6/10,3.0:1,39%,169,5.63,14235,474,0,12
15,10-17,42m 4s,Win,Yorick,Illaoi, 4/8/7,1.38:1,29%,234,5.57,15204,362,0,23
16,10-15,23m 33s,Loss,Nasus,Tryndamere, 2/9/3,0.56:1,33%,123,5.35,7544,328,0,10
17,10-10,28m 29s,Loss,Yorick,Garen, 3/10/1,0.4:1,19%,167,5.96,9532,340,0,13
18,10-10,23m 38s,Win,Yorick,Kayle, 4/3/2,2.0:1,18%,146,6.35,10362,451,0,13
19,10-10,27m 35s,Win,Caitlyn,Tristana, 7/5/9,3.2:1,53%,160,5.93,12157,450,0,15
20,N/A,N/A,Winrate: 0.6,N/A,N/A,N/A,3.1,33.7,177.2,6.0,12570.6,424.6,0.8,16.4
